###############################
########## Format
###############################

[ dd-mm-yy, hh:mm:ss ] -> Message

###############################
########## Logs
###############################

[ 17-3-2013, 12:58:42 ] -> (needs.Filer): Constructor - Comenzado a probar...
[ 17-4-2013, 12:58:42 ] -> (needs.Filer): Constructor probado.
[ 17-4-2013, 12:58:42 ] -> (needs.Filer): Metodo readFile() - Comenzando a probar...
[ 17-4-2013, 12:58:42 ] -> (needs.Filer): Metodo readFile() probado.
[ 17-4-2013, 13:8:24 ] -> (needs.ErrorManager): Constructor (file1) - Comenzado a probar...
[ 17-4-2013, 13:8:24 ] -> (needs.ErrorManager): Constructor (file1) Probado.
[ 17-4-2013, 13:8:24 ] -> (needs.ErrorManager): Constructor (file2) - Comenzado a probar...
[ 17-4-2013, 13:8:24 ] -> (needs.ErrorManager): Constructor (file2) Probado.
[ 17-4-2013, 13:8:24 ] -> (needs.ErrorManager): Constructor (file3) (null esperado) - Comenzado a probar...
[ 17-4-2013, 13:9:1 ] -> (needs.ErrorManager): Constructor (file1) - Comenzado a probar...
[ 17-4-2013, 13:9:1 ] -> (needs.ErrorManager): Constructor (file1) Probado.
[ 17-4-2013, 13:9:1 ] -> (needs.ErrorManager): Constructor (file2) - Comenzado a probar...
[ 17-4-2013, 13:9:1 ] -> (needs.ErrorManager): Constructor (file2) Probado.
[ 17-4-2013, 13:9:1 ] -> (needs.ErrorManager): Constructor (file3) (null esperado) - Comenzado a probar...
[ 17-4-2013, 13:9:49 ] -> (needs.ErrorManager): Constructor (file1) - Comenzado a probar...
[ 17-4-2013, 13:9:49 ] -> (needs.ErrorManager): Constructor (file1) Probado.
[ 17-4-2013, 13:9:49 ] -> (needs.ErrorManager): Constructor (file2) - Comenzado a probar...
[ 17-4-2013, 13:9:49 ] -> (needs.ErrorManager): Constructor (file2) Probado.
[ 17-4-2013, 13:9:49 ] -> (needs.ErrorManager): Constructor (file3) (null esperado) - Comenzado a probar...
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file1) - Comenzado a probar...
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file1) Probado.
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file2) - Comenzado a probar...
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file2) Probado.
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file3) (null esperado) - Comenzado a probar...
[ 17-4-2013, 13:10:59 ] -> (needs.ErrorManager): Constructor (file3) (null esperado) Probado.
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file1) - Comenzado a probar...
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file1) Probado.
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file2) - Comenzado a probar...
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file2) Probado.
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file3) - Comenzado a probar...
[ 17-4-2013, 13:11:55 ] -> (needs.ErrorManager): Constructor (file3) Probado.
